Starting the test
Logging in to app
Clicked on signIn and object is: [[ChromeDriver: chrome on XP (1f1b729209c4778d25cf5148fbf21bc8)] -> xpath: //*[@id='header']/div[2]/div/div/nav/div[1]/a]
Email address is: test@gmail.com and object is: [[ChromeDriver: chrome on XP (1f1b729209c4778d25cf5148fbf21bc8)] -> xpath: //*[@id='email']]
Password is: password and object is: [[ChromeDriver: chrome on XP (1f1b729209c4778d25cf5148fbf21bc8)] -> xpath: //*[@id='passwd']]
Clicked on submit button and the object is: [[ChromeDriver: chrome on XP (1f1b729209c4778d25cf5148fbf21bc8)] -> xpath: //*[@id='SubmitLogin']]
Retrieving the error message: Authentication failed.
Verification done
Test completed
2018-03-86 09:23:13 INFO  TC0001_VerifyLogin:27 - Starting the test
2018-03-86 09:23:14 INFO  TC0001_VerifyLogin:30 - Logging in to app
2018-03-86 09:23:19 INFO  HomePage:42 - Clicked on signIn and object is: [[ChromeDriver: chrome on XP (bc6caedd91c3f926c4529951777fc515)] -> xpath: //*[@id='header']/div[2]/div/div/nav/div[1]/a]
2018-03-86 09:23:19 INFO  HomePage:45 - Email address is: test@gmail.com and object is: [[ChromeDriver: chrome on XP (bc6caedd91c3f926c4529951777fc515)] -> xpath: //*[@id='email']]
2018-03-86 09:23:20 INFO  HomePage:48 - Password is: password and object is: [[ChromeDriver: chrome on XP (bc6caedd91c3f926c4529951777fc515)] -> xpath: //*[@id='passwd']]
2018-03-86 09:23:23 INFO  HomePage:51 - Clicked on submit button and the object is: [[ChromeDriver: chrome on XP (bc6caedd91c3f926c4529951777fc515)] -> xpath: //*[@id='SubmitLogin']]
2018-03-86 09:23:23 INFO  HomePage:55 - Retrieving the error message: Authentication failed.
2018-03-86 09:23:23 INFO  TC0001_VerifyLogin:34 - Verification done
2018-03-86 09:23:23 INFO  TC0001_VerifyLogin:35 - Test completed
2018-03-86 09:28:39 INFO  TC0001_VerifyLogin:27 - Starting the test
2018-03-86 09:28:39 INFO  TC0001_VerifyLogin:30 - Logging in to app
